id_peli,id_dir
862,1
9487,1
863,1
13925,1
920,1
49013,1
13927,1
13926,1
13928,1
13934,1
8844,2
15139,2
9354,2
10249,2
13466,2
331,2
2023,2
7978,2
1771,2
256347,2
15602,3
41579,3
15143,3
27472,3
11522,3
10393,3
2617,3
25269,3
2122,3
13596,3
218931,3
31357,4
9715,4
13969,4
26479,4
11862,5
10879,5
11215,5
19076,5
11846,5
8849,5
47874,5
949,6
9361,6
9008,6
11454,6
8489,6
11524,6
26198,6
1538,6
82,6
11322,6
57537,6
201088,6
11860,7
37233,7
606,7
11963,7
12618,7
28145,7
11943,7
10236,7
9576,7
19429,7
33564,7
11145,7
65012,7
28415,7
45522,7
22189,7
179,7
27453,7
42217,7
32068,7
51054,7
45325,8
9449,8
49922,8
1649,8
8920,8
14113,8
24271,8
134375,8
21605,8
289239,8
70859,8
5764,8
9091,9
8831,9
11015,9
4437,9
15698,9
9946,9
11851,9
23939,9
10540,9
11370,9
11935,9
12633,9
31597,9
10077,9
25137,9
174162,9
238589,9
84209,9
710,10
10447,10
9342,10
11678,10
41952,10
9839,10
52660,10
1656,10
36557,10
41787,10
12201,10
44912,10
9087,11
31586,11
2493,11
235,11
11031,11
639,11
31908,11
881,11
12220,11
1700,11
17813,11
8992,11
2800,11
7350,11
43949,11
101731,11
109404,11
253235,11
358895,11
12110,12
8005,12
3034,12
30197,12
10156,12
957,12
24918,12
11072,12
6524,12
10970,12
12535,12
21032,13
10380,13
9837,13
18890,13
2135,13
50321,13
10858,14
241,14
31642,14
792,14
10537,14
10155,14
9563,14
820,14
10673,14
2604,14
10132,14
6106,14
42149,14
25783,14
1966,14
1852,14
10523,14
33909,14
47426,14
82525,14
29854,14
329227,14
189215,14
302401,14
461805,14
1408,15
9350,15
11412,15
1573,15
10131,15
8914,15
103960,15
10477,15
9548,15
16617,15
11026,15
48309,15
9954,15
13252,15
17134,15
50601,15
169219,15
188207,15
270774,15
524,16
103,16
10436,16
769,16
1578,16
1598,16
9746,16
11051,16
11873,16
8649,16
9686,16
22784,16
13963,16
3131,16
262,16
10843,16
203,16
53198,16
16153,16
42694,16
12637,16
2567,16
19082,16
55676,16
1422,16
7944,16
11324,16
91459,16
54793,16
65673,16
33470,16
421510,16
75964,16
44826,16
106646,16
48714,16
48717,16
274906,16
5804,16
68730,16
342381,16
4584,17
10451,17
25296,17
68924,17
22267,17
146,17
1927,17
9261,17
142,17
4588,17
26320,17
87827,17
30091,17
293767,17
5,18
32325,18
58985,18
142132,18
102933,18
47866,18
37497,18
198214,18
185564,18
5,19
44535,19
52936,19
72843,19
43656,19
5,20
755,20
8068,20
9276,20
9367,20
10054,20
9488,20
12279,20
1428,20
187,20
14199,20
1992,20
25132,20
26682,20
23631,20
56288,20
106747,20
189,20
5,21
680,21
500,21
184,21
24,21
393,21
1991,21
16869,21
68718,21
273248,21
10614,21
9273,22
11891,22
11676,22
9907,22
14962,22
11517,23
10278,23
24099,23
31863,23
25155,23
9272,23
7442,23
10145,23
21955,23
199591,23
199591,23
31086,23
433356,23
8012,24
2758,24
9024,24
607,24
2907,24
8487,24
2185,24
608,24
9530,24
41154,24
322240,24
1710,25
9414,25
1844,25
1049,25
41927,25
9341,25
120637,25
30431,25
292396,25
9691,26
9359,26
794,26
8834,26
944,26
941,26
942,26
943,26
9340,26
1924,26
9647,26
526,26
23805,26
39503,26
9562,26
20763,26
2207,26
77925,26
12665,27
8922,27
11351,27
13689,27
86759,27
25756,27
85564,27
257093,27
451,28
49805,28
2625,28
12616,28
15059,28
125520,28
36234,28
25497,28
44414,28
47232,28
12767,28
11060,28
79591,28
191476,28
16420,29
24137,29
9026,29
10748,29
49767,29
18820,29
23488,29
37565,29
58233,29
332721,29
9263,30
32144,30
17015,31
509,31
1537,31
59210,31
9391,31
13771,31
38357,31
83036,31
87504,31
209350,31
310442,31
413998,31
902,32
892,32
8078,32
194,32
2841,32
27936,32
157841,32
47860,32
60813,32
902,33
892,33
15125,33
60813,33
37557,34
31439,34
10404,34
42006,34
36210,34
45861,34
12276,34
79,34
9550,34
41821,34
38143,34
14226,34
1494,34
36108,34
48336,34
44555,34
76758,34
259943,34
50542,34
311324,34
9909,35
32119,35
37272,35
125874,35
63,36
762,36
68,36
1878,36
36819,36
177,36
14506,36
11834,36
4543,36
4442,36
11559,36
8054,36
39005,36
157834,36
78802,37
978,37
192,37
62204,37
2383,37
853,37
10995,37
42238,37
1997,37
77221,37
10792,37
77221,37
309302,37
9598,38
13967,38
47018,39
47199,39
34036,39
687,40
10608,40
32274,40
139405,41
45929,41
15089,41
33689,42
1968,42
9454,42
1439,42
11529,42
8488,42
8676,42
27573,42
19754,42
406992,42
9603,43
11418,43
13342,43
10642,43
9494,43
16806,43
9356,43
15019,43
73935,43
34615,44
52855,44
35936,44
65137,44
6934,44
60119,44
75033,44
31174,45
53185,45
73116,45
52083,45
11823,45
36730,45
9754,45
26820,45
45371,45
120212,45
286521,45
331214,45
36464,45
11443,46
9516,46
24587,46
768,46
20504,46
11443,47
9516,47
24587,47
768,47
12572,47
20504,47
98357,47
35196,48
7300,48
10210,48
25562,48
31083,48
17187,48
62327,48
80919,48
29907,48
36811,48
97434,48
239571,48
9312,49
45549,49
8413,49
9425,49
1576,49
395,49
10483,49
35791,49
52451,49
71679,49
76649,49
173897,49
577,50
34444,50
468,50
489,50
11252,50
476,50
711,50
1956,50
1807,50
1665,50
2266,50
1990,50
383,50
10139,50
36108,50
47760,50
133694,50
273085,50
291351,50
11861,51
66588,51
14904,51
298382,51
807,52
8077,52
2649,52
550,52
4547,52
1949,52
4922,52
37799,52
65754,52
210577,52
10530,53
11135,53
245003,53
10530,54
49948,54
8391,55
10399,55
8359,55
334538,55
629,56
9445,56
77064,56
36657,56
36658,56
1452,56
2253,56
81005,56
127585,56
246655,56
117164,57
91548,57
29801,57
11448,58
11382,58
10440,58
9716,58
11561,58
11302,58
703,58
696,58
2639,58
11485,58
10849,58
11337,58
9466,58
30890,58
11562,58
9684,58
10569,58
11624,58
15867,58
11686,58
8217,58
22478,58
22477,58
19200,58
9686,58
2779,58
28384,58
9689,58
8288,58
21449,58
10739,58
5143,58
11030,58
12762,58
9688,58
116,58
512,58
10462,58
4787,58
5038,58
19265,58
38031,58
59436,58
81836,58
160588,58
229297,58
282984,58
339397,58
418772,58
49133,59
58098,59
47714,59
42420,59
24189,59
85547,59
209413,59
60067,59
26441,60
58669,60
97406,61
30943,61
52744,61
32077,61
118872,61
23397,61
91607,61
124057,62
19568,62
9089,63
11521,63
50780,63
303858,63
11010,64
2923,64
9314,64
23941,64
11162,64
13195,64
79591,64
60041,64
268171,64
99040,65
139445,65
38987,65
22618,65
11359,66
10806,66
11639,66
10776,66
11353,66
11899,66
10276,66
11371,66
10141,66
10407,66
9890,66
2196,66
17182,67
32513,67
32076,67
3116,67
26578,67
2990,67
1831,67
118098,67
10518,67
26535,67
47871,67
24134,67
91390,67
45938,67
5122,67
21666,67
3469,67
33765,67
139244,67
120729,67
2054,68
10057,68
11674,68
10414,68
9713,68
15413,68
3980,68
1648,68
12508,68
16643,68
13498,68
14849,68
16931,68
54557,68
15671,68
40080,68
331588,68
426670,68
10607,69
19760,70
37517,70
6382,70
71204,70
45017,70
9536,71
25723,71
11525,72
37434,72
445126,72
401687,72
40628,73
10543,73
6346,73
9504,73
9455,73
26827,73
13715,73
25501,73
10743,73
7183,73
38702,73
341174,73
4482,74
15460,74
237799,74
10634,75
9400,75
9631,75
8409,75
9654,75
4551,75
22803,75
277216,75
337339,75
11859,76
28387,77
53765,77
10707,77
44389,77
13998,77
27583,77
121986,77
309245,77
252512,77
355254,77
396398,77
48750,78
42726,78
37335,78
50350,78
14949,78
36108,78
48336,78
139851,78
34280,78
76329,78
33489,78
38198,78
45777,78
352025,78
76350,78
76348,78
99313,78
36140,78
53456,78
20927,79
36929,80
9725,80
9728,80
11675,80
11415,80
12278,80
9825,80
10326,80
11342,80
13503,80
23438,80
10486,80
13613,80
15616,80
9102,81
18355,81
11398,81
15074,81
12629,81
11944,81
17919,81
14643,81
24331,81
33305,81
24475,81
261985,81
103675,81
334304,81
398924,81
124626,82
27526,83
5955,83
1926,83
25598,83
5915,83
9623,84
15765,84
11133,84
1618,84
26803,84
46785,85
13898,85
40427,85
13209,85
13209,85
40882,85
83552,85
160171,85
320006,85
400,86
9437,86
12103,86
4965,86
11329,86
14325,86
204082,86
880,87
38904,87
52654,87
4592,87
96529,87
146599,88
188588,89
188589,89
161795,89
120694,89
142052,89
53898,89
144231,89
214446,89
214447,89
108322,89
41811,89
8447,90
47724,90
39327,90
31040,90
44546,90
125958,90
10534,91
78,91
348,91
4421,91
11976,91
31650,91
1541,91
98,91
9740,91
4105,91
855,91
19067,91
7270,91
1492,91
1495,91
9726,91
4982,91
12113,91
20662,91
70981,91
109091,91
147441,91
286217,91
126889,91
17414,92
17894,92
21185,92
36536,92
17956,92
9779,92
2959,92
10184,92
78698,92
63334,92
232572,92
13997,93
11041,93
10897,93
12538,93
8872,93
21137,93
36724,93
22323,93
28054,93
64972,93
26574,93
103601,93
44848,93
82153,93
77585,93
180363,93
77261,93
70207,93
2086,94
4954,94
9409,94
45928,94
14040,94
1727,94
2605,94
10859,94
11009,94
31695,94
33521,94
860,94
11384,94
10498,94
6341,94
42243,94
95578,94
96382,94
16331,94
61548,95
12519,95
46338,95
35796,95
44857,95
19958,95
32767,95
21828,95
18804,95
105676,95
32577,95
9095,96
18129,96
11844,96
859,96
10699,96
1363,96
243,96
27857,96
48834,96
11240,96
3472,96
42013,96
19621,96
12664,96
10773,96
1165,96
22215,96
31067,96
43699,96
34991,96
38961,96
59517,96
84305,96
196355,96
205220,96
271736,96
78329,96
315664,96
12158,97
11596,97
377,97
4232,97
4233,97
33278,97
17918,97
26149,97
4234,97
11503,97
12521,97
15516,97
18477,97
12262,97
33016,97
13122,97
10012,97
11460,97
2266,97
43931,97
41446,97
81009,97
37938,97
9283,98
10872,98
21132,98
6522,98
4133,98
38868,98
25925,98
209802,98
26797,98
9208,99
2019,99
10835,99
754,99
11782,99
955,99
12100,99
47423,99
9620,99
38099,99
13514,99
11471,99
18305,99
11909,99
39083,99
24553,99
12289,99
15384,99
44092,99
38185,99
264264,99
295273,99
39084,99
69161,99
40154,100
3036,100
11971,100
10705,100
10549,100
11498,100
11790,100
51333,100
4520,100
19103,100
10195,100
137094,100
37028,100
150689,100
406,101
47507,101
60670,101
4970,101
34068,101
9381,101
76609,101
63076,102
13907,102
30586,102
37088,102
34328,102
97044,102
63054,102
14111,102
289575,102
127546,102
42107,102
63427,102
117034,102
66638,102
448449,102
11062,103
2246,103
8838,103
94440,103
12150,103
11456,103
10627,103
33831,103
30069,103
75808,103
13685,104
11545,104
9428,104
421,104
4538,104
10315,104
83666,104
6418,104
120467,104
428074,104
47475,105
11008,105
24086,105
16560,105
48313,105
12139,105
11884,105
50220,105
103014,105
2045,106
10427,106
10220,106
31583,106
10866,106
25284,106
13922,106
8141,106
9614,107
9622,107
9032,107
11077,107
10878,107
11078,107
32450,107
9957,107
3563,107
10661,107
38365,107
50546,107
71880,107
109418,107
688,108
9559,108
33,108
66,108
8197,108
8879,108
10015,108
10354,108
11901,108
10747,108
5551,108
21866,108
24679,108
15393,108
17689,108
10650,108
9573,108
10724,108
37917,108
6723,108
28761,108
322,108
40374,108
70,108
20187,108
3683,108
1251,108
3580,108
13223,108
22954,108
44603,108
88794,108
209451,108
190859,108
363676,108
11907,109
29507,109
6461,109
2049,109
252407,109
10146,109
42293,109
8556,109
377852,109
10874,110
10437,110
13905,110
89333,111
96357,112
197,113
10502,113
615,113
1579,113
324786,113
33542,114
11134,114
38955,114
9404,114
9438,114
34856,114
11653,114
383785,114
43566,115
6071,115
9458,115
9605,115
10937,115
38718,115
44321,115
11892,115
21323,115
36665,115
46978,115
22521,115
54194,115
63327,115
71754,116
43612,117
4271,117
6444,117
2029,117
40225,117
20072,117
51352,118
16934,119
50008,119
53033,119
72094,119
10324,120
37567,120
97805,120
96238,120
