id_dir,director
1,John Lasseter
2,Joe Johnston
3,Howard Deutch
4,Forest Whitaker
5,Charles Shyer
6,Michael Mann
7,Sydney Pollack
8,Peter Hewitt
9,Peter Hyams
10,Martin Campbell
11,Rob Reiner
12,Mel Brooks
13,Simon Wells
14,Oliver Stone
15,Renny Harlin
16,Martin Scorsese
17,Ang Lee
18,Allison Anders
19,Alexandre Rockwell
20,Robert Rodriguez
21,Quentin Tarantino
22,Steve Oedekerk
23,Joseph Ruben
24,Barry Sonnenfeld
25,Jon Amiel
26,Richard Donner
27,Victor Salva
28,Mike Figgis
29,Oliver Parker
30,Lesli Linka Glatter
31,Roger Michell
32,Jean-Pierre Jeunet
33,Marc Caro
34,Zhang Yimou
35,John N. Smith
36,Terry Gilliam
37,Jean-Jacques Annaud
38,Chris Noonan
39,Christopher Hampton
40,Tim Robbins
41,Stephen Low
42,Andy Tennant
43,Amy Heckerling
44,Darrell James Roodt
45,Richard Loncraine
46,Albert Hughes
47,Allen Hughes
48,Michael Hoffman
49,Paul W.S. Anderson
50,Gus Van Sant
51,Jocelyn Moorhouse
52,David Fincher
53,Mike Gabriel
54,Eric Goldberg
55,Patricia Rozema
56,Bryan Singer
57,Richard W. Munchkin
58,Woody Allen
59,Gianni Amelio
60,Holly Goldberg Sloan
61,Ulu Grosbard
62,Robert Tinnell
63,Jodie Foster
64,Michael Radford
65,Robert Lepage
66,Frank Oz
67,John Schlesinger
68,Stephen Herek
69,Paris Barclay
70,Bill Bennett
71,Jason Bloom
72,Farhad Mann
73,James Foley
74,Josiane Balasko
75,F. Gary Gray
76,Andrew Sipes
77,Noah Baumbach
78,Claude Lelouch
79,Michael Goldenberg
80,Steve Miner
81,Christian Duguay
82,Susanne Ofteringer
83,Sean Penn
84,Brian Gibson
85,Jafar Panahi
86,Gary Fleder
87,Marleen Gorris
88,Tim Reid
89,Henry Jaglom
90,Philip Haas
91,Ridley Scott
92,Ken Kwapis
93,Penelope Spheeris
94,John Badham
95,John Duigan
96,Stephen Frears
97,Wes Craven
98,Ted Demme
99,John Woo
100,Kenneth Branagh
101,Mathieu Kassovitz
102,Nick Broomfield
103,Harold Becker
104,Wes Anderson
105,Nick Castle
106,John Dahl
107,Dennis Dugan
108,Clint Eastwood
109,Doris Dörrie
110,Brian Henson
111,Robert Leacock
112,James Bruce
113,Mel Gibson
114,Stanley Tong
115,Barbet Schroeder
116,Mort Ransen
117,Étienne Chatiliez
118,Jon Blair
119,Benjamin Ross
120,Eric Schaeffer
121,Andrew Davis
122,Charles T. Kanganis
123,Reginald Hudlin
124,Wong Kar-wai
125,Giuseppe Tornatore
126,David O. Russell
127,Peter MacDonald
128,Moufida Tlatli
129,Michel Negroponte
130,Bryan Gordon
131,Rebecca Miller
132,Michael Lindsay-Hogg
133,William Friedkin
134,Ángel Muñiz
135,Craig Baldwin
136,David S. Ward
137,Mark Rappaport
138,Dirk Shafer
139,Terence Davies
140,Sandip Ray
141,Jon Avnet
142,Mike Nichols
143,Jakov Sedlar
144,Edward Burns
145,Michael Bay
146,Christopher Cain
147,Scott Kalvert
148,Mike Newell
149,Hal Hartley
150,Ron Howard
151,Michael Caton-Jones
152,Abel Ferrara
153,Joel Schumacher
154,Luis Buñuel
155,John Boorman
156,Paul Auster
157,Wayne Wang
158,Michael Moore
159,Brad Silberling
160,Spike Lee
161,Frank Marshall
162,Tony Scott
163,Terry Zwigoff
164,Carl Franklin
165,John McTiernan
166,Gregg Araki
167,Christopher Menaul
168,Jerry Zucker
169,Dwight H. Little
170,Iain Softley
171,Christopher Ashley
172,Robert Longo
173,Danny Cannon
174,John Fortenberry
175,Larry Clark
176,Tom DiCillo
177,Clive Barker
178,Denys Arcand
179,Antonia Bird
180,Kevin Smith
181,Bryan Spicer
182,David Anspaugh
183,Anthony Waller
184,Michael Almereyda
185,Irwin Winkler
186,Chris Columbus
187,Daisy von Scherler Mayer
188,Gregory Widen
189,Norman René
190,Todd Haynes
191,Roland Joffé
192,Paul Verhoeven
193,Lasse Hallström
194,Roger Donaldson
195,James Keach
196,Kathryn Bigelow
197,Jacques Demy
198,Wesley Strick
199,Martha Coolidge
200,Agnieszka Holland
201,Beeban Kidron
202,Geoff Murphy
203,Diane Keaton
204,Douglas Keeve
205,Alfonso Aráu
206,Kevin Reynolds
207,Desmond Nakano
208,Walter Hill
209,Greg Beeman
210,Nikita Mikhalkov
211,Milčo Mančevski
212,Richard Linklater
213,Tamra Davis
214,Guy Ferland
215,Herbert Ross
216,Peter Horton
217,Stuart Gordon
218,Pat O'Connor
219,Jeremy Leven
220,Barry Levinson
221,René Bonnière
222,Jack Baran
223,Roman Polanski
224,Taylor Hackford
225,Peter Farrelly
226,Bobby Farrelly
227,Atom Egoyan
228,Garry Marshall
229,Tim Burton
230,Lawrence Kasdan
231,Billy Crystal
232,Phillip Borsos
233,Kevin Lima
234,Paul Brizzi
235,Brett Leonard
236,Carlo Carlei
237,Gérard Corbiau
238,Mark Lewis
239,Art Clokey
240,Charles Burnett
241,Steve James
242,Peter Jackson
243,Randall Miller
244,Bernard Rose
245,Steven Brill
246,J. F. Lawton
247,Fred Schepisi
248,Neil Jordan
249,James Ivory
250,James Melkonian
251,Ivan Reitman
252,Arne Glimcher
253,Michael Gottlieb
254,George Lucas
255,Gillian Armstrong
256,Alfonso Cuarón
257,Ken Loach
258,Claude Chabrol
259,Edward Zwick
260,James Gray
261,Glenn Gordon Caron
262,Stephen Gyllenhaal
263,Nicholas Hytner
264,James Orr
265,Nora Ephron
266,Richard Benjamin
267,Les Mayfield
268,David Frankel
269,Gregory Nava
270,Marc Rocco
271,Robert Benton
272,Michael Apted
273,Nick Gomez
274,Tōru Murakawa
275,Vadim Jean
276,Albert Pyun
277,Alan Jacobs
278,Norman Jewison
279,Lee Tamahori
280,Anne Goursaud
281,Wolfgang Petersen
282,Luc Besson
283,Mira Nair
284,Joshua Brand
285,Mario Van Peebles
286,Robert Redford
287,Kayo Hatta
288,Patrice Chéreau
289,Sam Raimi
290,Peter Yates
291,Robert Altman
292,Krzysztof Kieślowski
293,He Ping
294,Fred Gerber
295,George Mihalka
296,Harold Ramis
297,Richard Rich
298,John Sayles
299,Luis Llosa
300,Roland Emmerich
301,John Pasquin
302,Frank Darabont
303,Danny Boyle
304,Scott McGehee
305,David Siegel
306,Tomás Gutiérrez Alea
307,Juan Carlos Tabío
308,George Huang
309,Kevin Dowling
310,Geoff Burton
311,Kelly Makin
312,Rachel Talalay
313,Ernest R. Dickerson
314,David Carson
315,Rusty Cundieff
316,Brian Gilbert
317,John Carpenter
318,Peter Segal
319,Louis Malle
320,Steven Soderbergh
321,Preston A. Whitmore II
322,Jon Turteltaub
323,Mina Shum
324,P.J. Hogan
325,Melanie Mayron
326,Tom Shadyac
327,Stephan Elliott
328,Phillip Noyce
329,Jessie Nelson
330,Alex Proyas
331,Ron Shelton
332,Brian Levant
333,Robert Zemeckis
334,John Singleton
335,Darnell Martin
336,Andrew Bergman
337,Stephen Sommers
338,Ray Müller
339,Roger Allers
340,Rob Minkoff
341,Bernardo Bertolucci
342,Chuck Russell
343,Alan Rudolph
344,Ben Stiller
345,Donald Petrie
346,Robert Allan Ackerman
347,Curtis Hanson
348,Jan de Bont
349,Ron Underwood
350,James Cameron
351,Luis Mandoki
352,Damian Harris
353,Suri Krishnamma
354,Jefery Levy
355,Keenen Ivory Wayans
356,Robert Lee King
357,Brian Sloan
