id_peli,title,budget,revenue,return,original_language,release_year,release_date,runtime,popularity,vote_average,vote_count
862,Toy Story,30000000.0,373554033.0,12.4518011,en,1995,1995-10-30,81.0,21.946943,7.7,5415.0
8844,Jumanji,65000000.0,262797249.0,4.0430346,en,1995,1995-12-15,104.0,17.015539,6.9,2413.0
15602,Grumpier Old Men,0.0,0.0,0.0,en,1995,1995-12-22,101.0,11.7129,6.5,92.0
31357,Waiting to Exhale,16000000.0,81452156.0,5.09075975,en,1995,1995-12-22,127.0,3.859495,6.1,34.0
11862,Father of the Bride Part II,0.0,76578911.0,0.0,en,1995,1995-02-10,106.0,8.387519,5.7,173.0
949,Heat,60000000.0,187436818.0,3.123946966666667,en,1995,1995-12-15,170.0,17.924927,7.7,1886.0
11860,Sabrina,58000000.0,0.0,0.0,en,1995,1995-12-15,127.0,6.677277,6.2,141.0
45325,Tom and Huck,0.0,0.0,0.0,en,1995,1995-12-22,97.0,2.561161,5.4,45.0
9091,Sudden Death,35000000.0,64350171.0,1.8385763142857143,en,1995,1995-12-22,106.0,5.23158,5.5,174.0
710,GoldenEye,58000000.0,352194034.0,6.072310931034483,en,1995,1995-11-16,130.0,14.686036,6.6,1194.0
9087,The American President,62000000.0,107879496.0,1.739991870967742,en,1995,1995-11-17,106.0,6.318445,6.5,199.0
12110,Dracula: Dead and Loving It,0.0,0.0,0.0,en,1995,1995-12-22,88.0,5.430331,5.7,210.0
21032,Balto,0.0,11348324.0,0.0,en,1995,1995-12-22,78.0,12.140733,7.1,423.0
10858,Nixon,44000000.0,13681765.0,0.31094920454545455,en,1995,1995-12-22,192.0,5.092,7.1,72.0
1408,Cutthroat Island,98000000.0,10017322.0,0.10221757142857144,en,1995,1995-12-22,119.0,7.284477,5.7,137.0
524,Casino,52000000.0,116112375.0,2.2329302884615383,en,1995,1995-11-22,178.0,10.137389,7.8,1343.0
5,Four Rooms,4000000.0,4300000.0,1.075,en,1995,1995-12-09,98.0,9.026586,6.5,539.0
9273,Ace Ventura: When Nature Calls,30000000.0,212385533.0,7.079517766666667,en,1995,1995-11-10,90.0,8.205448,6.1,1128.0
11517,Money Train,60000000.0,35431113.0,0.59051855,en,1995,1995-11-21,103.0,7.337906,5.4,224.0
8012,Get Shorty,30250000.0,115101622.0,3.805012297520661,en,1995,1995-10-20,105.0,12.669608,6.4,305.0
1710,Copycat,0.0,0.0,0.0,en,1995,1995-10-27,124.0,10.701801,6.5,199.0
9691,Assassins,50000000.0,30303072.0,0.60606144,en,1995,1995-10-06,132.0,11.065939,6.0,394.0
12665,Powder,0.0,0.0,0.0,en,1995,1995-10-27,111.0,12.133094,6.3,143.0
451,Leaving Las Vegas,3600000.0,49800000.0,13.833333333333334,en,1995,1995-10-27,112.0,10.332025,7.1,365.0
16420,Othello,0.0,0.0,0.0,en,1995,1995-12-15,123.0,1.845899,7.0,33.0
9263,Now and Then,12000000.0,27400000.0,2.283333333333333,en,1995,1995-10-20,100.0,8.681325,6.6,91.0
902,The City of Lost Children,18000000.0,1738611.0,0.0965895,fr,1995,1995-05-16,108.0,9.822423,7.6,308.0
37557,Shanghai Triad,0.0,0.0,0.0,zh,1995,1995-04-30,108.0,1.100915,6.5,17.0
9909,Dangerous Minds,0.0,180000000.0,0.0,en,1995,1995-08-11,99.0,9.481338,6.4,249.0
63,Twelve Monkeys,29500000.0,168840000.0,5.7233898305084745,en,1995,1995-12-29,129.0,12.297305,7.4,2470.0
78802,Wings of Courage,0.0,0.0,0.0,fr,1996,1996-09-18,50.0,0.745542,6.8,4.0
9598,Babe,30000000.0,254134910.0,8.471163666666667,en,1995,1995-07-18,89.0,14.404764,6.0,756.0
47018,Carrington,0.0,0.0,0.0,en,1995,1995-11-08,121.0,1.493361,6.4,16.0
687,Dead Man Walking,11000000.0,39363635.0,3.5785122727272727,en,1995,1995-12-29,122.0,6.891317,7.3,350.0
139405,Across the Sea of Time,0.0,0.0,0.0,en,1995,1995-10-20,51.0,0.114469,3.5,2.0
33689,It Takes Two,0.0,0.0,0.0,en,1995,1995-11-17,101.0,7.777735,6.1,149.0
9603,Clueless,12000000.0,0.0,0.0,en,1995,1995-07-19,97.0,9.882383,6.9,828.0
34615,"Cry, the Beloved Country",0.0,676525.0,0.0,en,1995,1995-12-15,106.0,0.894647,6.7,13.0
31174,Richard III,0.0,0.0,0.0,en,1995,1995-12-29,104.0,4.561387,6.9,50.0
11443,Dead Presidents,10000000.0,0.0,0.0,en,1995,1995-10-06,119.0,9.87957,6.6,80.0
