id_peli,title,word_bag
862,Toy Story,Toy Story ToyStoryCollection Animation Comedy Family JohnLasseter JohnLasseter
8844,Jumanji,Jumanji  Family Adventure Fantasy JoeJohnston JoeJohnston
15602,Grumpier Old Men,Grumpier Old Men GrumpyOldMenCollection Comedy Romance HowardDeutch HowardDeutch
31357,Waiting To Exhale,Waiting To Exhale  Comedy Romance Drama ForestWhitaker ForestWhitaker
11862,Father Of The Bride Part Ii,Father Of The Bride Part Ii  Comedy CharlesShyer CharlesShyer
949,Heat,Heat  Drama Action Crime Thriller MichaelMann MichaelMann
11860,Sabrina,Sabrina  Comedy Romance SydneyPollack SydneyPollack
45325,Tom And Huck,Tom And Huck  Family Adventure Drama Action PeterHewitt PeterHewitt
9091,Sudden Death,Sudden Death  Adventure Action Thriller PeterHyams PeterHyams
710,Goldeneye,Goldeneye JamesBondCollection Adventure Action Thriller MartinCampbell MartinCampbell
9087,The American President,The American President  Comedy Romance Drama RobReiner RobReiner
12110,Dracula: Dead And Loving It,Dracula: Dead And Loving It  Comedy Horror MelBrooks MelBrooks
21032,Balto,Balto BaltoCollection Animation Family Adventure SimonWells SimonWells
10858,Nixon,Nixon  Drama History OliverStone OliverStone
1408,Cutthroat Island,Cutthroat Island  Adventure Action RennyHarlin RennyHarlin
524,Casino,Casino  Drama Crime MartinScorsese MartinScorsese
5,Four Rooms,Four Rooms  Comedy Crime AllisonAnders AlexandreRockwell RobertRodriguez QuentinTarantino AllisonAnders AlexandreRockwell RobertRodriguez QuentinTarantino
9273,Ace Ventura: When Nature Calls,Ace Ventura: When Nature Calls AceVenturaCollection Comedy Adventure Crime SteveOedekerk SteveOedekerk
11517,Money Train,Money Train  Comedy Action Crime JosephRuben JosephRuben
8012,Get Shorty,Get Shorty ChiliPalmerCollection Comedy Crime Thriller BarrySonnenfeld BarrySonnenfeld
1710,Copycat,Copycat  Drama Thriller JonAmiel JonAmiel
9691,Assassins,Assassins  Adventure Action Crime Thriller RichardDonner RichardDonner
12665,Powder,Powder  Fantasy Drama Thriller Science Fiction VictorSalva VictorSalva
451,Leaving Las Vegas,Leaving Las Vegas  Romance Drama MikeFiggis MikeFiggis
16420,Othello,Othello  Drama OliverParker OliverParker
9263,Now And Then,Now And Then  Comedy Family Drama LesliLinkaGlatter LesliLinkaGlatter
902,The City Of Lost Children,The City Of Lost Children  Adventure Fantasy Science Fiction Jean-PierreJeunet MarcCaro Jean-PierreJeunet MarcCaro
37557,Shanghai Triad,Shanghai Triad  Drama Crime ZhangYimou ZhangYimou
9909,Dangerous Minds,Dangerous Minds  Drama Crime JohnN.Smith JohnN.Smith
63,Twelve Monkeys,Twelve Monkeys  Thriller Science Fiction Mystery TerryGilliam TerryGilliam
9598,Babe,Babe BabeCollection Comedy Family Fantasy Drama ChrisNoo ChrisNoo
47018,Carrington,Carrington  Romance Drama History ChristopherHampton ChristopherHampton
687,Dead Man Walking,Dead Man Walking  Drama TimRobbins TimRobbins
33689,It Takes Two,It Takes Two  Comedy Family Romance AndyTent AndyTent
9603,Clueless,Clueless  Comedy Romance Drama AmyHeckerling AmyHeckerling
31174,Richard Iii,Richard Iii  Drama War RichardLoncraine RichardLoncraine
11443,Dead Presidents,Dead Presidents  Drama Action Crime History AlbertHughes AllenHughes AlbertHughes AllenHughes
9312,Mortal Kombat,Mortal Kombat MortalKombatCollection Fantasy Action PaulW.S.Anderson PaulW.S.Anderson
577,To Die For,To Die For  Comedy Fantasy Drama Thriller GusVanSant GusVanSant
11861,How To Make An American Quilt,How To Make An American Quilt  Romance Drama JocelynMoorhouse JocelynMoorhouse
807,Se7En,Se7En  Crime Thriller Mystery DavidFincher DavidFincher
10530,Pocahontas,Pocahontas PocahontasCollection Animation Family Adventure Drama MikeGabriel EricGoldberg MikeGabriel EricGoldberg
629,The Usual Suspects,The Usual Suspects  Drama Crime Thriller BryanSinger BryanSinger
11448,Mighty Aphrodite,Mighty Aphrodite  Comedy Romance WoodyAllen WoodyAllen
26441,The Big Green,The Big Green  Comedy Family Adventure Action HollyGoldbergSloan HollyGoldbergSloan
97406,Georgia,Georgia  Drama UluGrosbard UluGrosbard
9089,Home For The Holidays,Home For The Holidays  Comedy Romance Drama JodieFoster JodieFoster
11359,The Indian In The Cupboard,The Indian In The Cupboard  Family Adventure Fantasy FrankOz FrankOz
17182,Eye For An Eye,Eye For An Eye  Drama Thriller JohnSchlesinger JohnSchlesinger
2054,Mr. Holland'S Opus,Mr. Holland'S Opus  Family Drama Music StephenHerek StephenHerek
10607,Don'T Be A Menace To South Central While Drinking Your Juice In The Hood,Don'T Be A Menace To South Central While Drinking Your Juice In The Hood  Comedy ParisBarclay ParisBarclay
9536,Bio-Dome,Bio-Dome  Comedy JasonBloom JasonBloom
11525,Lawnmower Man 2: Beyond Cyberspace,Lawnmower Man 2: Beyond Cyberspace TheLawnmowerManCollection Action Science Fiction FarhadMann FarhadMann
4482,French Twist,French Twist  Comedy Romance JosianeBalasko JosianeBalasko
