id_prod,productora
1,Pixar Animation Studios
2,TriStar Pictures
3,Teitler Film
4,Interscope Communications
5,Warner Bros.
6,Lancaster Gate
7,Twentieth Century Fox Film Corporation
8,Sandollar Productions
9,Touchstone Pictures
10,Regency Enterprises
11,Forward Pass
12,Paramount Pictures
13,Scott Rudin Productions
14,Mirage Enterprises
15,Constellation Entertainment
16,Worldwide
17,Mont Blanc Entertainment GmbH
18,Walt Disney Pictures
19,Universal Pictures
20,Imperial Entertainment
21,Signature Entertainment
22,United Artists
23,Eon Productions
24,Columbia Pictures
25,Castle Rock Entertainment
26,Enigma Pictures
27,Amblin Entertainment
28,Amblimation
29,Hollywood Pictures
30,Cinergi Pictures Entertainment
31,Le Studio Canal+
32,Laurence Mark Productions
33,Metro-Goldwyn-Mayer (MGM)
34,Carolco Pictures
35,Légende Entreprises
36,Syalis DA
37,De Fina-Cappa
38,Columbia Pictures Corporation
39,Miramax Films
40,A Band Apart
41,O Entertainment
42,Morgan Creek Productions
43,Jersey Films
44,New Regency Pictures
45,Silver Pictures
46,Canal+
47,Dino De Laurentiis Company
48,Donner/Shuler-Donner Productions
49,Evansgideon/Lazar
50,Caravan Pictures
51,Intial Productions
52,New Line Cinema
53,BBC Films
54,Procirep
55,Constellation Productions
56,France 3 Cinéma
57,Claudie Ossard Productions
58,Eurimages
59,MEDIA Programme of the European Union
60,Cofimage 5
61,Televisión Española (TVE)
62,Tele München Fernseh Produktionsgesellschaft (TMG)
63,Club d'Investissement Média
64,Canal+ España
65,Elías Querejeta Producciones Cinematográficas S.L.
66,Centre National de la Cinématographie (CNC)
67,Victoires Productions
68,Constellation
69,Lumière Pictures
70,Studio Image
71,Cofimage 4
72,Ossane
73,Phoenix Images
74,Ministère des Affaires Étrangères
75,Alpha Films
76,La Sept Cinéma
77,Via Rosa Productions
78,Don Simpson/Jerry Bruckheimer Films
79,Atlas Entertainment
80,Classico
81,Iwerks Entertainment
82,Kennedy Miller Productions
83,StudioCanal
84,Cinéa
85,Euston Films
86,Freeway Films
87,European Co-production Fund
88,Polygram Filmed Entertainment
89,Orsans Productions
90,Havoc
91,PolyGram Filmed Entertainment
92,Working Title Films
93,Sony New Technologies
94,Dualstar Productions
95,Rysher Entertainment
96,Orr & Cruickshank
97,Miramax
98,Distant Horizon
99,Alpine Pty Limited
100,British Screen
101,Mayfair Entertainment International
102,Underworld Entertainment
103,Threshold Entertainment
104,The Rank Organisation
105,Juno Pix
106,Cecchi Gori Pictures
107,Walt Disney Feature Animation
108,Alliance Communications Corporation
109,Blue Parrot Productions
110,Bad Hat Harry Productions
111,Magnolia Pictures
112,CiBy 2000
113,Telefilm Canada
114,Melenny Productions
115,Egg Pictures
116,The Kennedy/Marshall Company
117,The Charlie Mopic Company
118,Island Pictures
119,Ivory Way Productions
120,Motion Picture Corporation of America (MPCA)
121,3 Arts Entertainment
122,Weasel Productions
123,Renn Productions
124,Les Films Flam
125,TF1 Films Production
126,Dimension Films
127,Los Hooligans Productions
128,Castleberg Productions
129,Les Films 13
130,TF1
131,The Movie Network (TMN)
132,Allegro Films
133,Fuji Eight Company Ltd.
134,Fries Film Group
135,Super Ecran
136,Triumph Films
137,Zweites Deutsches Fernsehen (ZDF)
138,Ciak Filmproduktion
139,Bluehorse Films
140,I.R.I.B. Channel 2
141,Ferdos Films
142,Bergen Film
143,Bard Entertainments
144,NPS Televisie
145,BET Pictures
146,United Image Entertainme
147,Playhouse International Pictures
148,The Samuel Goldwyn Company
149,Largo Entertainment
150,Scott Free Productions
151,Joe Wizan/Todd Black
152,Addis Wechsler Pictures
153,NFH Productions
154,Woods Entertainment
155,WCG Entertainment Productions
156,Mark Gordon Productions
157,Midwinter Films
158,Les Productions Lazennec
159,Kasso Inc. Productions
160,Cofinergie 6
161,Channel Four Films
162,British Broadcasting Corporation (BBC)
163,Westdeutscher Rundfunk (WDR)
164,Canadian Broadcasting Corporation (CBC)
165,Cinemax Reel Life
166,InPictures
167,Lafayette Films
168,Gracie Films
169,Spelling Films
170,Brillstein-Grey Entertainment
171,Robert Simonds Productions
172,Malpaso Productions
173,Jim Henson Productions
174,"Jim Henson Company, The"
175,Icon Entertainment International
176,The Ladd Company
177,B.H. Finance C.V.
178,Italo/Judeo Productions
179,Bill/Phillips
180,Golden Harvest Company
181,Téléfilm Canada
182,Skyline Films
183,Malofilm
184,Société de Développement des Entreprises Culturelles (SODEC)
185,British Screen Productions
186,National Film Board of Canada (NFB)
187,imX Communications
188,Glace Bay Pictures
189,Ciné Télé Action
190,Nova Scotia Film Development Corporation
191,Ranfilm
192,France 2 Cinéma
193,Les Productions du Champ Poirier
194,Téléma Productions
195,Bavaria Film and Television Fund
196,Savoy Pictures
197,Jet Tone Production
198,The Criterion Collection
199,Cecchi Gori Group Tiger Cinematografica
200,Studio Babelsberg
201,Dieter Geissler Filmproduktion
202,Cinevox Filmproduktion GmbH
203,Canal Horizons
204,Mat Films
205,Cinétéléfilms
206,Fine Line Features
207,Bórd Scannán na hÉireann
208,Cigua Films
209,D'Pelicula
210,Couch Potatoe Productions
211,Academy
212,Mayfair Films
213,Iberoamerica Films
214,Fox Searchlight Pictures
215,BBC
216,Portman Productions
217,Zenith Entertainment
218,American Playhouse
219,Union Générale Cinématographique (UGC)
220,True Fiction Pictures
221,Imagine Entertainment
222,Talisman Productions
223,October Films
224,Guild
225,Fastnet Films
226,Paris Films Productions
227,Five Films
228,Robert et Raymond Hakim
229,InterAL
230,The Harvey Entertainment Company
231,40 Acres & A Mule Filmworks
232,"Kennedy/Marshall Company, The"
233,Superior Pictures
234,Mundy Lane Entertainment
235,Why Not Productions
236,Desperate Pictures
237,Blurco
238,The Teen Angst Movie Company
239,Merchant Ivory Productions
240,First Knight Productions
241,Alcor Films
242,Suftley
243,The Booking Office
244,Workin' Man Films
245,JDI productions
246,Lemon Sky Productions
247,Seraphim Films
248,The Ontario Film Development Corporation
249,First Choice Films
250,Atlantis Films
251,Max Films Productions
252,Super Écran
253,Société Générale des Industries Culturelles du Québec (SOGIC)
254,Gramercy Pictures
255,Alphaville Films
256,View Askew Productions
257,Saban Entertainment
258,Toei Company
259,Comet Film Produktion GmbH
260,Avrora Media
261,Cobblestone Pictures
262,Kino Link Company
263,1492 Pictures
264,Party Productions
265,"Samuel Goldwyn Company, The"
266,Killer Films
267,Kardana Films
268,Chemical Films
269,Spring Creek Productions
270,Hawn / Sylbert Movie Company
271,Butcher's Run Films
272,Lightstorm Entertainment
273,Beta Film
274,Madeleine Films
275,Parc Film
276,Société Française de Production (SFP)
277,FIT Productions
278,Seagal/Nasso Productions
279,Victor Company of Japan (JVC)
280,Cutting Edge Films
281,Zucker Brothers Productions
282,Gordon Company
283,Davis Entertainment
284,Licht/Mueller Film Corporation
285,HBO
286,A BandApart
287,Studio Trite
288,Caméra One
289,PolyGram Audiovisuel
290,Detour Film Production
291,Jack Giarraputo Productions
292,Spelling Films International
293,Hera Productions
294,Island World
295,Full Moon Entertainment
296,Lantana
297,Price Entertainment
298,American Zoetrope
299,Baltimore Pictures
300,Keystone Pictures
301,Dream Man Productions Inc
302,Capitol Films
303,Flach Film
304,Les Films de l'Astre
305,Ang Lee Productions
306,Good Machine
307,Central Motion Pictures
308,Alliance Entertainment
309,Ego Film Arts
310,Prufrock Pictures
311,Metro-Goldwyn-Mayer
312,Italian International Film
313,Stéphan Films
314,MG
315,Kartemquin Films
316,WingNut Films
317,New Zealand Film Commission
318,Fontana Productions
319,Majestic Films International
320,Bregman/Baer Productions
321,Geffen Pictures
322,Northern Lights Entertainment
323,Fountainbridge Films
324,Lee Rich Productions
325,Trimark Pictures
326,Lucasfilm
327,Parallax Pictures
328,MK2 Productions
329,Aviacsa
330,Cinevista
331,Bedford Falls Productions
332,Pangaea
333,Live Entertainment
334,Cineville
335,Home Box Office (HBO)
336,Showcase Entertaiment Inc.
337,Samuel Goldwyn Company
338,Close Call Films
339,Newcomb Productions
340,Wolper Organization
341,Capella International
342,Cinehaus
343,TOEI
344,Distant Justice Joint Venture
345,Metrodome Films
346,Filmwerks
347,Ixtlan
348,J D Productions
349,Avalon Studios
350,New Zealand On Air
351,CineTel Pictures
352,MG Entertainment
353,Kopelson Entertainment
354,Punch Productions
355,Arnold Kopelson Productions
356,Gaumont
357,Gramercy Pictures (I)
358,MVP Films
359,Wildwood Enterprises
360,Cecile Company
361,Thousand Cranes Filmworks
362,ARD/Degeto Film GmbH
363,D.A. Films
364,France2 Cinéma
365,WMG Film
366,N.E.F. Filmproduktion und Vertriebs GmbH
367,RCS Films & TV
368,Nomura Babcock & Brown
369,Zespół Filmowy TOR
370,Télévision Suisse-Romande
371,CED Productions
372,Norstar Entertainment
373,west wind entertainment
374,Rich Animation Studios
375,Jones Entertainment Group
376,Skerry Productions
377,Jerry Weintraub Productions
378,Iguana Producciones
