,id_peli,title,idx_recommend
0,862,Toy Story,1658
1,862,Toy Story,9455
2,862,Toy Story,10749
3,862,Toy Story,7231
4,862,Toy Story,8429
5,8844,Jumanji,11053
6,8844,Jumanji,2725
7,8844,Jumanji,9652
8,8844,Jumanji,4986
9,8844,Jumanji,6337
10,15602,Grumpier Old Men,1818
11,15602,Grumpier Old Men,962
12,15602,Grumpier Old Men,824
13,15602,Grumpier Old Men,8328
14,15602,Grumpier Old Men,13045
15,31357,Waiting To Exhale,4060
16,31357,Waiting To Exhale,12215
17,31357,Waiting To Exhale,715
18,31357,Waiting To Exhale,7623
19,31357,Waiting To Exhale,13141
20,11862,Father Of The Bride Part Ii,3577
21,11862,Father Of The Bride Part Ii,4515
22,11862,Father Of The Bride Part Ii,248
23,11862,Father Of The Bride Part Ii,2152
24,11862,Father Of The Bride Part Ii,2963
25,949,Heat,6880
26,949,Heat,7869
27,949,Heat,12706
28,949,Heat,13081
29,949,Heat,7832
30,11860,Sabrina,5565
31,11860,Sabrina,11068
32,11860,Sabrina,13045
33,11860,Sabrina,13142
34,11860,Sabrina,14249
35,45325,Tom And Huck,95
36,45325,Tom And Huck,2710
37,45325,Tom And Huck,9449
38,45325,Tom And Huck,13070
39,45325,Tom And Huck,9321
40,9091,Sudden Death,6873
41,9091,Sudden Death,6874
42,9091,Sudden Death,1165
43,9091,Sudden Death,448
44,9091,Sudden Death,10578
45,710,Goldeneye,1639
46,710,Goldeneye,914
47,710,Goldeneye,3109
48,710,Goldeneye,9321
49,710,Goldeneye,3077
50,9087,The American President,742
51,9087,The American President,12215
52,9087,The American President,2285
53,9087,The American President,7623
54,9087,The American President,13141
55,12110,Dracula: Dead And Loving It,357
56,12110,Dracula: Dead And Loving It,4149
57,12110,Dracula: Dead And Loving It,3264
58,12110,Dracula: Dead And Loving It,3955
59,12110,Dracula: Dead And Loving It,14658
60,21032,Balto,8445
61,21032,Balto,12840
62,21032,Balto,3244
63,21032,Balto,41
64,21032,Balto,560
65,10858,Nixon,12946
66,10858,Nixon,363
67,10858,Nixon,1998
68,10858,Nixon,6272
69,10858,Nixon,10868
70,1408,Cutthroat Island,552
71,1408,Cutthroat Island,296
72,1408,Cutthroat Island,10795
73,1408,Cutthroat Island,77
74,1408,Cutthroat Island,9449
75,524,Casino,625
76,524,Casino,637
77,524,Casino,13193
78,524,Casino,2951
79,524,Casino,636
80,5,Four Rooms,110
81,5,Four Rooms,201
82,5,Four Rooms,564
83,5,Four Rooms,14228
84,5,Four Rooms,11191
85,9273,Ace Ventura: When Nature Calls,3650
86,9273,Ace Ventura: When Nature Calls,11895
87,9273,Ace Ventura: When Nature Calls,234
88,9273,Ace Ventura: When Nature Calls,6591
89,9273,Ace Ventura: When Nature Calls,344
90,11517,Money Train,5925
91,11517,Money Train,13105
92,11517,Money Train,12207
93,11517,Money Train,2895
94,11517,Money Train,1861
95,8012,Get Shorty,12730
96,8012,Get Shorty,377
97,8012,Get Shorty,70
98,8012,Get Shorty,7837
99,8012,Get Shorty,2551
100,1710,Copycat,11194
101,1710,Copycat,14004
102,1710,Copycat,5194
103,1710,Copycat,7869
104,1710,Copycat,8506
105,9691,Assassins,1046
106,9691,Assassins,12706
107,9691,Assassins,6880
108,9691,Assassins,12730
109,9691,Assassins,9321
110,12665,Powder,12760
111,12665,Powder,4421
112,12665,Powder,5302
113,12665,Powder,11135
114,12665,Powder,8288
115,451,Leaving Las Vegas,12215
116,451,Leaving Las Vegas,5480
117,451,Leaving Las Vegas,7060
118,451,Leaving Las Vegas,5335
119,451,Leaving Las Vegas,12462
120,16420,Othello,5799
121,16420,Othello,1624
122,16420,Othello,12215
123,16420,Othello,634
124,16420,Othello,7249
125,9263,Now And Then,488
126,9263,Now And Then,14512
127,9263,Now And Then,372
128,9263,Now And Then,1003
129,9263,Now And Then,5830
130,902,The City Of Lost Children,601
131,902,The City Of Lost Children,4482
132,902,The City Of Lost Children,5748
133,902,The City Of Lost Children,2650
134,902,The City Of Lost Children,4865
135,37557,Shanghai Triad,4242
136,37557,Shanghai Triad,666
137,37557,Shanghai Triad,4287
138,37557,Shanghai Triad,7869
139,37557,Shanghai Triad,13081
140,9909,Dangerous Minds,7869
141,9909,Dangerous Minds,13081
142,9909,Dangerous Minds,14965
143,9909,Dangerous Minds,7181
144,9909,Dangerous Minds,2951
145,63,Twelve Monkeys,12760
146,63,Twelve Monkeys,4317
147,63,Twelve Monkeys,12703
148,63,Twelve Monkeys,1168
149,63,Twelve Monkeys,9310
150,9598,Babe,1264
151,9598,Babe,14512
152,9598,Babe,1003
153,9598,Babe,5830
154,9598,Babe,10358
155,47018,Carrington,12215
156,47018,Carrington,5480
157,47018,Carrington,7060
158,47018,Carrington,3393
159,47018,Carrington,1726
160,687,Dead Man Walking,1670
161,687,Dead Man Walking,6253
162,687,Dead Man Walking,598
163,687,Dead Man Walking,4837
164,687,Dead Man Walking,538
165,33689,It Takes Two,12853
166,33689,It Takes Two,15074
167,33689,It Takes Two,12603
168,33689,It Takes Two,10476
169,33689,It Takes Two,395
170,9603,Clueless,12215
171,9603,Clueless,3331
172,9603,Clueless,5771
173,9603,Clueless,4082
174,9603,Clueless,5674
175,31174,Richard Iii,187
176,31174,Richard Iii,2342
177,31174,Richard Iii,7540
178,31174,Richard Iii,12643
179,31174,Richard Iii,14191
180,11443,Dead Presidents,340
181,11443,Dead Presidents,11029
182,11443,Dead Presidents,12410
183,11443,Dead Presidents,13070
184,11443,Dead Presidents,2395
185,9312,Mortal Kombat,892
186,9312,Mortal Kombat,6212
187,9312,Mortal Kombat,2032
188,9312,Mortal Kombat,2036
189,9312,Mortal Kombat,3410
190,577,To Die For,11194
191,577,To Die For,3246
192,577,To Die For,7371
193,577,To Die For,4499
194,577,To Die For,875
195,11861,How To Make An American Quilt,12215
196,11861,How To Make An American Quilt,179
197,11861,How To Make An American Quilt,5593
198,11861,How To Make An American Quilt,46
199,11861,How To Make An American Quilt,1856
200,807,Se7En,13081
201,807,Se7En,859
202,807,Se7En,12768
203,807,Se7En,12730
204,807,Se7En,7422
205,10530,Pocahontas,8410
206,10530,Pocahontas,12
207,10530,Pocahontas,14020
208,10530,Pocahontas,5361
209,10530,Pocahontas,560
210,629,The Usual Suspects,7869
211,629,The Usual Suspects,13081
212,629,The Usual Suspects,6964
213,629,The Usual Suspects,11194
214,629,The Usual Suspects,12730
215,11448,Mighty Aphrodite,14163
216,11448,Mighty Aphrodite,3220
217,11448,Mighty Aphrodite,1200
218,11448,Mighty Aphrodite,2834
219,11448,Mighty Aphrodite,3881
220,26441,The Big Green,12413
221,26441,The Big Green,8079
222,26441,The Big Green,11239
223,26441,The Big Green,2885
224,26441,The Big Green,4037
225,97406,Georgia,157
226,97406,Georgia,2295
227,97406,Georgia,8012
228,97406,Georgia,1532
229,97406,Georgia,5613
230,9089,Home For The Holidays,12215
231,9089,Home For The Holidays,196
232,9089,Home For The Holidays,7623
233,9089,Home For The Holidays,13141
234,9089,Home For The Holidays,2411
235,11359,The Indian In The Cupboard,4986
236,11359,The Indian In The Cupboard,11053
237,11359,The Indian In The Cupboard,9652
238,11359,The Indian In The Cupboard,6337
239,11359,The Indian In The Cupboard,10898
240,17182,Eye For An Eye,11194
241,17182,Eye For An Eye,2591
242,17182,Eye For An Eye,14004
243,17182,Eye For An Eye,803
244,17182,Eye For An Eye,3041
245,2054,Mr. Holland'S Opus,10459
246,2054,Mr. Holland'S Opus,12012
247,2054,Mr. Holland'S Opus,14870
248,2054,Mr. Holland'S Opus,2140
249,2054,Mr. Holland'S Opus,2992
250,10607,Don'T Be A Menace To South Central While Drinking Your Juice In The Hood,5267
251,10607,Don'T Be A Menace To South Central While Drinking Your Juice In The Hood,1982
